# experiment: b1
# git_commit: 80c10eb5b11178e54c7e2b3fd8fa2d6fa99f1037
# git_dirty: no
# utc: 20260905_131415
# dataset: captures/btcusdt_futures_bookTicker_20260820_130813.bin
# symbol: BTCUSDT
# dataset_records: 13749492
# slice_length: 2000000
# capacity: 16384
# consumer: book
# passes: 3
# qos_class: user_interactive
# page_size: 16384 (apis_agree: yes)
# warm_seconds: 1.73613
# lap1_ms: 4.00433
# lap2_ms: 2.19163
# lap_ratio: 1.82711  (see note below)
#
# §6.4a records a lap1/lap2 floor of ~1.2, but that came from
# traversing all 13.7M records. A 2M-record slice is ~112 MB,
# far beyond the 16 MB L2, so both laps stream from DRAM and
# there is no first-pass cache benefit to recover. A ratio at
# 1.0 here means no residual paging, which is what warming
# was for. It is not a failed check against the 1.2 floor.
# spin_count: 8192 (tuned baseline — §4, spins past the inter-arrival gap)
#
# Latency is intended-send to consumer-dequeue. A datapoint is
# valid only if dropped_records == 0 and p99 producer lag is
# within one offered-rate period. Invalid rows are written
# rather than deleted, with the gate that failed recorded.
pass,arm,rate_hz,pushed,delivered,dropped_records,full_rejections,book_updates,spin_count,signals,parks,p50_lag_ns,p99_lag_ns,max_lag_ns,p50_ns,p90_ns,p99_ns,p999_ns,p9999_ns,max_ns,drop_gate,lag_gate,valid
0,spsc,100000,2000000,2000000,0,0,2000000,0,0,0,0,41,54625,83,83,333,14708,29791,61541,pass,pass,yes
0,mutex,100000,2000000,2000000,0,0,2000000,8192,1974939,1029012,0,42,52917,4875,6459,11542,19167,37792,72500,pass,pass,yes
0,spsc,250000,2000000,2000000,0,0,2000000,0,0,0,0,41,59750,83,83,125,12958,28208,59791,pass,pass,yes
0,mutex,250000,2000000,2000000,0,0,2000000,8192,1933636,921354,0,417,65709,625,1792,9542,20542,34834,83709,pass,pass,yes
0,spsc,500000,2000000,2000000,0,0,2000000,0,0,0,0,42,64125,84,125,125,13542,27084,66167,pass,pass,yes
0,mutex,500000,2000000,2000000,0,0,2000000,8192,1985252,1466,0,41,40416,166,166,541,19916,32916,49541,pass,pass,yes
0,spsc,1e+06,2000000,2000000,0,0,2000000,0,0,0,0,41,34708,83,83,125,12250,24125,37458,pass,pass,yes
0,mutex,1e+06,2000000,2000000,0,0,2000000,8192,1976634,692,0,42,59459,167,167,3375,20792,33875,67625,pass,pass,yes
0,spsc,2.5e+06,2000000,2000000,0,0,2000000,0,0,0,16,75,20633,100,116,116,9891,21650,44375,pass,pass,yes
0,mutex,2.5e+06,2000000,2000000,0,0,2000000,8192,1970275,163,17,533,35067,183,200,4200,19175,32933,44025,pass,FAIL,no
0,spsc,5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,46900,92,117,117,13008,34217,46983,pass,pass,yes
0,mutex,5e+06,2000000,2000000,0,0,2000000,8192,74472,230,1267,5992,39025,4475,7092,12783,22358,38350,45567,pass,FAIL,no
0,spsc,1e+07,2000000,2000000,0,0,2000000,0,0,0,17,58,40425,92,117,142,15992,33975,40592,pass,pass,yes
0,mutex,1e+07,2000000,2000000,0,0,2000000,8192,21233,77,4125,24991,66125,9133,17325,37425,61616,90100,98958,pass,FAIL,no
0,spsc,2e+07,2000000,2000000,0,0,2000000,0,0,0,16,150,24816,100,116,1191,16241,27783,32733,pass,FAIL,no
0,mutex,2e+07,2000000,2000000,0,0,2000000,8192,14297,61,40898458,80615633,81497508,40902292,73215692,80635933,81410100,81490608,81499508,pass,FAIL,no
1,mutex,100000,2000000,2000000,0,0,2000000,8192,1975667,1029118,0,42,53375,4875,6458,11375,19042,36083,64375,pass,pass,yes
1,spsc,100000,2000000,2000000,0,0,2000000,0,0,0,0,41,46875,83,83,125,12208,34125,59833,pass,pass,yes
1,mutex,250000,2000000,2000000,0,0,2000000,8192,1931490,913120,0,292,62500,334,1792,9542,20250,34792,79375,pass,pass,yes
1,spsc,250000,2000000,2000000,0,0,2000000,0,0,0,0,42,47167,84,84,125,12959,26542,48000,pass,pass,yes
1,mutex,500000,2000000,2000000,0,0,2000000,8192,1986266,1187,0,41,48000,166,166,375,18708,31041,57208,pass,pass,yes
1,spsc,500000,2000000,2000000,0,0,2000000,0,0,0,0,41,44750,83,83,125,12916,25666,44791,pass,pass,yes
1,mutex,1e+06,2000000,2000000,0,0,2000000,8192,1975393,773,0,83,46833,166,166,3791,20416,32875,53791,pass,pass,yes
1,spsc,1e+06,2000000,2000000,0,0,2000000,0,0,0,0,42,29167,83,83,125,13250,26792,41167,pass,pass,yes
1,mutex,2.5e+06,2000000,2000000,0,0,2000000,8192,1962921,217,17,1259,30509,184,200,5517,20434,33217,46559,pass,FAIL,no
1,spsc,2.5e+06,2000000,2000000,0,0,2000000,0,0,0,16,75,11716,100,116,116,12233,25975,39900,pass,pass,yes
1,mutex,5e+06,2000000,2000000,0,0,2000000,8192,64836,264,1258,6267,35325,4567,7275,14367,27942,46000,56133,pass,FAIL,no
1,spsc,5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,25784,92,117,117,14784,27750,41609,pass,pass,yes
1,mutex,1e+07,2000000,2000000,0,0,2000000,8192,20728,87,3900,28975,53567,8900,19208,46667,85558,117325,131250,pass,FAIL,no
1,spsc,1e+07,2000000,2000000,0,0,2000000,0,0,0,17,58,44867,92,117,133,15850,32342,44908,pass,pass,yes
1,mutex,2e+07,2000000,2000000,0,0,2000000,8192,14397,69,40359066,81006000,81819033,40381933,73427075,81008483,81751366,81819141,81824625,pass,FAIL,no
1,spsc,2e+07,2000000,2000000,0,0,2000000,0,0,0,17,67,5883,100,117,242,13933,22375,26050,pass,FAIL,no
2,spsc,100000,2000000,2000000,0,0,2000000,0,0,0,0,42,66250,84,125,167,11834,33000,66375,pass,pass,yes
2,mutex,100000,2000000,2000000,0,0,2000000,8192,1977433,1027231,0,41,50041,4875,6500,11083,18416,36291,74958,pass,pass,yes
2,spsc,250000,2000000,2000000,0,0,2000000,0,0,0,0,42,38667,83,83,125,11042,26833,78667,pass,pass,yes
2,mutex,250000,2000000,2000000,0,0,2000000,8192,1918417,889310,0,1042,54417,292,1792,10667,21875,34334,61459,pass,pass,yes
2,spsc,500000,2000000,2000000,0,0,2000000,0,0,0,0,42,46083,83,83,125,12375,26125,48750,pass,pass,yes
2,mutex,500000,2000000,2000000,0,0,2000000,8192,1991974,641,0,42,44208,167,167,208,14917,27708,48542,pass,pass,yes
2,spsc,1e+06,2000000,2000000,0,0,2000000,0,0,0,0,42,42833,83,83,125,12167,24667,42875,pass,pass,yes
2,mutex,1e+06,2000000,2000000,0,0,2000000,8192,1977488,606,0,42,47417,167,167,2792,18334,32250,54875,pass,pass,yes
2,spsc,2.5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,844817,100,117,150,489209,803634,855517,pass,pass,yes
2,mutex,2.5e+06,2000000,2000000,0,0,2000000,8192,1960841,206,16,1583,52025,183,200,5608,19175,34308,60725,pass,FAIL,no
2,spsc,5e+06,2000000,2000000,0,0,2000000,0,0,0,16,75,14766,91,116,116,12150,24183,37975,pass,pass,yes
2,mutex,5e+06,2000000,2000000,0,0,2000000,8192,73853,190,1266,5866,34200,4416,6883,12525,24741,39050,46958,pass,FAIL,no
2,spsc,1e+07,2000000,2000000,0,0,2000000,0,0,0,17,58,31892,92,117,150,15633,27250,31975,pass,pass,yes
2,mutex,1e+07,2000000,2000000,0,0,2000000,8192,20349,82,3967,27359,59300,9142,17292,39025,61442,85800,94559,pass,FAIL,no
2,spsc,2e+07,2000000,2000000,0,0,2000000,0,0,0,16,3758,26816,100,116,5158,17550,24441,26866,pass,FAIL,no
2,mutex,2e+07,2000000,2000000,0,0,2000000,8192,14676,48,40486167,83446750,84279267,40490609,75497109,83452892,84193675,84268292,84282034,pass,FAIL,no
