# experiment: b1
# git_commit: 80c10eb5b11178e54c7e2b3fd8fa2d6fa99f1037
# git_dirty: no
# utc: 20260905_131750
# dataset: captures/btcusdt_futures_bookTicker_20260820_130813.bin
# symbol: BTCUSDT
# dataset_records: 13749492
# slice_length: 2000000
# capacity: 16384
# consumer: book
# passes: 3
# qos_class: user_interactive
# page_size: 16384 (apis_agree: yes)
# warm_seconds: 0.0292709
# lap1_ms: 1.80163
# lap2_ms: 1.72917
# lap_ratio: 1.0419  (see note below)
#
# §6.4a records a lap1/lap2 floor of ~1.2, but that came from
# traversing all 13.7M records. A 2M-record slice is ~112 MB,
# far beyond the 16 MB L2, so both laps stream from DRAM and
# there is no first-pass cache benefit to recover. A ratio at
# 1.0 here means no residual paging, which is what warming
# was for. It is not a failed check against the 1.2 floor.
# spin_count: 1000 (parking baseline — §3's blocking condvar)
#
# Latency is intended-send to consumer-dequeue. A datapoint is
# valid only if dropped_records == 0 and p99 producer lag is
# within one offered-rate period. Invalid rows are written
# rather than deleted, with the gate that failed recorded.
pass,arm,rate_hz,pushed,delivered,dropped_records,full_rejections,book_updates,spin_count,signals,parks,p50_lag_ns,p99_lag_ns,max_lag_ns,p50_ns,p90_ns,p99_ns,p999_ns,p9999_ns,max_ns,drop_gate,lag_gate,valid
0,spsc,100000,2000000,2000000,0,0,2000000,0,0,0,0,42,55583,83,125,208,11625,33208,65208,pass,pass,yes
0,mutex,100000,2000000,2000000,0,0,2000000,1000,1969113,1933245,0,42,56792,6375,6750,14000,21250,49834,175292,pass,pass,yes
0,spsc,250000,2000000,2000000,0,0,2000000,0,0,0,0,42,666417,84,84,167,13042,100334,666625,pass,pass,yes
0,mutex,250000,2000000,2000000,0,0,2000000,1000,1699235,1677242,0,2000,49167,2625,6334,10917,20042,33084,83459,pass,pass,yes
0,spsc,500000,2000000,2000000,0,0,2000000,0,0,0,0,41,49333,83,83,125,12375,26291,55666,pass,pass,yes
0,mutex,500000,2000000,2000000,0,0,2000000,1000,1180970,812230,0,3500,51333,1917,5792,10833,23000,37500,61917,pass,FAIL,no
0,spsc,1e+06,2000000,2000000,0,0,2000000,0,0,0,0,41,23125,83,83,125,10750,22458,36083,pass,pass,yes
0,mutex,1e+06,2000000,2000000,0,0,2000000,1000,922023,588258,0,4125,46167,1417,4792,10875,25500,46750,72167,pass,FAIL,no
0,spsc,2.5e+06,2000000,2000000,0,0,2000000,0,0,0,17,75,38367,92,117,117,14242,27000,38450,pass,pass,yes
0,mutex,2.5e+06,2000000,2000000,0,0,2000000,1000,1939957,2429,17,2683,36567,183,200,8342,21317,34217,45117,pass,FAIL,no
0,spsc,5e+06,2000000,2000000,0,0,2000000,0,0,0,16,75,7791,91,116,116,11425,21458,33008,pass,pass,yes
0,mutex,5e+06,2000000,2000000,0,0,2000000,1000,115625,67691,858,6142,39483,3900,7375,16017,26750,41825,58517,pass,FAIL,no
0,spsc,1e+07,2000000,2000000,0,0,2000000,0,0,0,16,58,28283,91,116,150,14141,24816,28366,pass,pass,yes
0,mutex,1e+07,2000000,2000000,0,0,2000000,1000,19349,13315,5283,35908,68158,12058,25417,50708,73008,89208,102358,pass,FAIL,no
0,spsc,2e+07,2000000,2000000,0,0,2000000,0,0,0,17,84,6975,100,117,609,17650,29209,34284,pass,FAIL,no
